# lats1 lons1 lats2 lon2 drift_m
75.89 128.83 75.90 128.90 2016.49
75.89 128.94 75.90 129.01 2016.48
75.89 129.05 75.90 129.12 2016.47
75.89 129.16 75.90 129.23 2016.46
75.89 129.27 75.89 129.34 2016.46
75.88 129.38 75.89 129.45 2016.45
75.88 129.49 75.89 129.56 2016.44
75.88 129.60 75.89 129.67 2016.43
75.88 129.71 75.88 129.78 2016.42
75.88 127.72 75.80 128.22 16422.10
75.88 128.16 75.79 128.55 14411.93
75.87 128.49 75.88 128.56 2016.39
75.87 128.60 75.88 128.67 2016.39
75.87 128.71 75.88 128.78 2016.38
75.87 128.82 75.87 128.89 2016.37
75.87 128.93 75.87 129.00 2016.36
75.86 129.04 75.87 129.11 2016.36
75.86 129.15 75.87 129.22 2016.35
75.86 129.26 75.87 129.33 2016.34
75.86 129.37 75.86 129.44 2016.33
75.86 129.48 75.86 129.55 2016.32
75.85 129.59 75.86 129.66 2016.31
75.85 129.70 75.86 129.77 2016.30
75.85 127.82 75.77 128.18 13939.69
75.85 128.48 75.85 128.56 2151.75
75.84 128.59 75.85 128.66 2016.27
75.84 128.70 75.85 128.77 2016.26
75.84 128.81 75.85 128.88 2016.25
75.84 128.92 75.85 128.99 2016.25
75.84 129.03 75.84 129.10 2016.24
75.83 129.14 75.84 129.21 2016.23
75.83 129.25 75.84 129.32 2016.22
75.83 129.36 75.84 129.43 2016.21
75.83 129.47 75.84 129.54 2016.20
75.83 129.58 75.83 129.65 2016.19
75.82 129.69 75.83 129.76 2016.18
75.82 128.48 75.83 128.55 2151.62
75.82 128.59 75.82 128.65 2016.15
75.82 128.70 75.82 128.76 2016.15
75.81 128.80 75.82 128.87 2016.14
75.81 128.91 75.82 128.98 2016.13
75.81 129.02 75.82 129.09 2016.12
75.81 129.13 75.81 129.20 2016.11
75.81 129.24 75.81 129.31 2016.10
75.80 129.35 75.81 129.42 2016.10
75.80 129.46 75.81 129.53 2016.09
75.80 129.57 75.81 129.64 2016.08
75.80 129.68 75.80 129.75 2016.07
75.80 129.79 75.80 129.86 2016.06
75.79 128.47 75.80 128.54 2016.04
75.79 128.58 75.80 128.65 2016.04
75.79 128.69 75.80 128.76 2016.03
75.78 128.91 75.79 128.98 2087.55
75.78 129.02 75.79 129.08 2016.00
75.78 129.13 75.79 129.19 2016.00
75.78 129.23 75.79 129.30 2087.52
75.78 129.34 75.78 129.41 2015.98
75.78 129.45 75.78 129.52 2015.97
75.77 129.56 75.78 129.63 2015.96
75.77 129.67 75.78 129.74 2015.95
75.77 129.78 75.78 129.85 2015.94
75.77 128.35 75.77 128.43 2151.38
75.77 128.46 75.77 128.53 2015.92
75.76 128.57 75.77 128.64 2015.92
75.76 128.68 75.77 128.75 2015.91
75.76 128.79 75.77 128.86 2015.90
75.76 128.90 75.77 128.97 2015.89
75.76 129.01 75.76 129.08 2015.89
75.75 129.12 75.76 129.19 2015.88
75.75 129.23 75.76 129.29 2015.87
75.75 129.44 75.76 129.51 2015.85
75.75 129.55 75.75 129.62 2015.84
75.74 129.66 75.75 129.73 2015.83
75.74 129.77 75.75 129.84 2015.82
75.74 128.35 75.75 128.41 2015.81
75.74 128.46 75.75 128.52 2015.81
75.74 128.57 75.74 128.63 2015.80
75.73 128.67 75.74 128.74 2015.79
75.73 128.78 75.74 128.85 2015.78
75.73 128.89 75.74 128.96 2015.78
75.73 129.00 75.74 129.06 1882.58
75.73 129.11 75.73 129.17 1882.57
75.73 129.22 75.73 129.29 2015.75
75.72 129.33 75.73 129.40 2015.74
75.72 129.44 75.73 129.50 2015.73
75.72 129.65 75.72 129.72 2015.71
75.71 129.76 75.72 129.83 2015.70
75.71 129.87 75.72 129.94 2015.69
75.71 128.34 75.72 128.41 2015.70
75.71 128.45 75.72 128.52 2015.69
75.71 128.56 75.72 128.63 2015.68
75.71 128.67 75.71 128.73 2015.67
75.71 128.78 75.71 128.84 2015.67
75.70 128.88 75.71 128.95 2015.66
75.70 128.99 75.71 129.06 2015.65
75.70 129.10 75.71 129.16 1882.46
75.70 129.21 75.71 129.27 1882.46
75.70 129.32 75.70 129.39 2015.62
75.69 129.64 75.70 129.71 1882.42
75.69 129.75 75.69 129.82 2015.59
75.69 129.86 75.69 129.93 2015.58
75.69 128.33 75.69 128.40 2015.58
75.68 128.44 75.69 128.51 2015.57
75.68 128.55 75.69 128.62 2015.56
75.68 128.66 75.69 128.73 2015.55
75.68 128.77 75.69 128.84 2015.55
75.68 128.88 75.68 128.94 2015.54
75.68 128.99 75.68 129.05 2015.53
75.67 129.09 75.68 129.16 2015.52
75.67 129.20 75.68 129.27 2015.51
75.67 129.31 75.68 129.38 2015.50
75.66 129.64 75.67 129.70 2015.48
75.66 129.74 75.67 129.81 2015.47
75.66 129.85 75.67 129.92 2015.46
75.66 128.33 75.67 128.39 2015.46
75.66 128.44 75.67 128.50 2086.97
75.66 128.54 75.66 128.61 2015.44
75.65 128.65 75.66 128.72 2015.44
75.65 128.76 75.66 128.83 2015.43
75.65 128.87 75.66 128.94 2015.42
75.65 128.98 75.66 129.05 2086.93
75.65 129.09 75.65 129.15 2015.40
75.64 129.19 75.65 129.26 2015.39
