# lats1 lons1 lats2 lon2 drift_m
74.31 128.14 74.32 128.20 2159.57
74.28 128.23 74.29 128.29 2159.42
74.27 128.23 74.28 128.29 2159.35
74.27 128.28 74.28 128.34 2079.91
74.27 128.33 74.28 128.38 1875.87
74.28 128.33 74.29 128.39 2008.59
74.28 128.28 74.29 128.34 2079.98
74.26 128.27 74.26 128.33 1827.59
74.25 128.37 74.26 128.43 1875.81
74.27 128.38 74.27 128.43 1808.85
74.27 128.47 74.27 128.52 1562.78
74.28 128.48 74.28 128.53 1562.83
74.29 128.48 74.30 128.54 1752.22
74.31 128.48 74.31 128.54 1752.27
74.31 128.43 74.31 128.49 1946.26
74.29 128.43 74.30 128.49 1946.20
74.32 128.44 74.33 128.50 1946.32
74.33 128.44 74.35 128.50 2128.51
74.35 128.44 74.36 128.50 2128.58
74.36 128.45 74.37 128.50 2128.65
74.37 128.45 74.39 128.50 2015.13
74.39 128.45 74.40 128.50 2015.19
74.40 128.45 74.41 128.51 2015.25
74.41 128.46 74.43 128.51 2015.32
74.43 128.46 74.44 128.51 2015.38
74.43 128.41 74.44 128.46 2015.39
74.43 128.36 74.44 128.41 2015.39
74.43 128.31 74.44 128.36 1918.30
74.43 128.26 74.44 128.31 1918.30
74.43 128.21 74.44 128.26 1918.31
74.43 128.16 74.44 128.22 2037.34
74.42 128.16 74.43 128.22 2037.27
74.41 128.16 74.42 128.21 2037.21
74.40 128.21 74.41 128.26 2037.21
74.42 128.21 74.43 128.26 1918.25
74.42 128.26 74.43 128.31 1918.24
74.40 128.26 74.41 128.31 2037.20
74.39 128.25 74.40 128.31 2037.14
74.39 128.20 74.40 128.26 2037.14
74.39 128.15 74.40 128.21 2037.14
74.38 128.15 74.39 128.21 2037.08
74.37 128.15 74.38 128.20 2037.01
74.36 128.20 74.37 128.25 2037.01
74.38 128.20 74.39 128.26 2037.07
74.38 128.25 74.39 128.31 2037.07
74.38 128.30 74.39 128.36 2037.07
74.39 128.30 74.40 128.36 2037.13
74.40 128.31 74.41 128.36 1918.18
74.42 128.31 74.43 128.36 1918.24
74.42 128.36 74.43 128.41 2015.33
74.42 128.41 74.43 128.46 2015.32
74.40 128.41 74.41 128.46 2015.26
74.40 128.36 74.41 128.41 2015.26
74.39 128.35 74.40 128.40 2015.20
74.38 128.35 74.39 128.40 2015.13
74.37 128.40 74.39 128.45 2015.13
74.39 128.40 74.40 128.45 2015.19
74.36 128.40 74.37 128.45 2128.65
74.36 128.35 74.37 128.40 2128.66
74.35 128.34 74.36 128.40 2128.59
74.35 128.29 74.36 128.35 2036.94
74.35 128.24 74.36 128.31 2159.77
74.35 128.19 74.36 128.26 2159.77
74.35 128.15 74.36 128.21 2159.78
74.36 128.25 74.37 128.30 2037.01
74.36 128.30 74.37 128.35 2037.00
74.35 128.39 74.36 128.45 2128.58
74.35 128.49 74.35 128.54 1612.58
74.36 128.50 74.37 128.55 2015.06
74.37 128.50 74.38 128.55 2015.12
74.39 128.50 74.40 128.55 2015.19
74.40 128.50 74.41 128.56 2015.25
74.41 128.51 74.42 128.56 2015.32
74.43 128.51 74.44 128.56 2015.38
74.43 128.56 74.44 128.61 1906.77
74.44 128.56 74.45 128.61 1906.83
74.44 128.61 74.45 128.66 1906.82
74.43 128.61 74.44 128.66 1906.76
74.41 128.61 74.42 128.66 2015.31
74.41 128.56 74.42 128.61 2015.31
74.40 128.55 74.41 128.61 2015.25
74.39 128.55 74.39 128.60 1619.96
74.37 128.55 74.38 128.59 1619.91
74.36 128.55 74.36 128.60 1612.63
74.35 128.54 74.35 128.59 1612.58
74.33 128.54 74.34 128.59 1563.03
74.33 128.49 74.34 128.54 1612.53
74.32 128.49 74.32 128.54 1612.48
74.32 128.54 74.32 128.59 1562.98
74.32 128.59 74.32 128.64 1562.97
74.33 128.59 74.34 128.64 1752.38
74.34 128.59 74.35 128.64 1612.58
74.36 128.59 74.36 128.65 1612.63
74.37 128.60 74.38 128.64 1619.90
74.39 128.60 74.39 128.64 1497.73
74.40 128.60 74.41 128.65 1497.78
74.40 128.65 74.41 128.70 1497.77
74.40 128.70 74.40 128.74 1412.88
74.41 128.71 74.42 128.75 1412.92
74.42 128.71 74.43 128.75 1412.97
74.42 128.66 74.44 128.71 1906.76
74.44 128.66 74.45 128.71 1906.82
74.44 128.71 74.45 128.76 1906.82
74.44 128.76 74.44 128.81 1542.00
74.42 128.76 74.43 128.81 1541.95
74.41 128.76 74.42 128.80 1541.90
74.40 128.75 74.40 128.80 1541.85
74.38 128.75 74.39 128.80 1541.80
74.38 128.70 74.39 128.75 1541.80
74.38 128.65 74.39 128.69 1497.73
74.37 128.65 74.38 128.69 1619.90
74.36 128.64 74.36 128.70 1612.63
74.36 128.69 74.36 128.75 1752.49
74.37 128.70 74.38 128.74 1541.75
74.37 128.75 74.38 128.79 1541.75
74.36 128.74 74.36 128.80 1707.04
74.34 128.74 74.35 128.79 1563.06
74.34 128.69 74.35 128.75 1752.43
74.34 128.64 74.35 128.69 1612.57
74.33 128.64 74.33 128.69 1563.02
74.33 128.69 74.33 128.74 1706.93
74.32 128.68 74.32 128.73 1526.63
74.30 128.68 74.31 128.73 1562.92
74.30 128.63 74.31 128.68 1562.92
74.29 128.63 74.29 128.68 1562.87
74.29 128.58 74.29 128.63 1562.87
74.29 128.53 74.30 128.58 1562.88
74.31 128.53 74.31 128.58 1562.93
74.30 128.58 74.31 128.63 1562.92
74.32 128.63 74.32 128.69 1562.97
74.32 128.73 74.32 128.78 1526.62
74.33 128.74 74.33 128.79 1526.67
74.33 128.79 74.33 128.84 1526.67
74.34 128.79 74.34 128.84 1526.72
74.35 128.79 74.36 128.84 1526.77
74.37 128.80 74.37 128.85 1526.82
74.38 128.80 74.39 128.85 1541.80
74.40 128.80 74.40 128.85 1541.84
74.41 128.81 74.41 128.85 1541.89
74.42 128.81 74.43 128.86 1541.94
74.44 128.81 74.44 128.86 1541.99
74.43 128.86 74.44 128.91 1541.99
74.42 128.86 74.43 128.91 1541.94
74.41 128.86 74.41 128.90 1541.89
74.39 128.85 74.40 128.90 1541.84
74.38 128.85 74.39 128.90 1541.79
74.37 128.85 74.37 128.90 1673.87
74.35 128.84 74.36 128.89 1526.76
74.34 128.84 74.34 128.89 1526.72
74.33 128.84 74.33 128.89 1526.67
74.31 128.83 74.32 128.88 1526.62
74.31 128.78 74.32 128.83 1526.62
74.30 128.78 74.30 128.83 1526.57
74.30 128.73 74.30 128.78 1526.57
74.29 128.73 74.29 128.78 1526.53
74.29 128.68 74.29 128.73 1526.53
74.28 128.67 74.28 128.73 1562.82
74.28 128.63 74.28 128.68 1562.82
74.28 128.58 74.28 128.63 1562.82
74.28 128.53 74.28 128.58 1562.83
74.27 128.52 74.27 128.57 1562.77
74.26 128.57 74.27 128.62 1562.77
74.25 128.57 74.25 128.62 1420.03
74.25 128.52 74.26 128.57 1420.03
74.25 128.47 74.26 128.52 1562.73
74.24 128.47 74.24 128.51 1419.99
74.24 128.52 74.24 128.56 1419.99
74.24 128.57 74.24 128.61 1419.98
74.24 128.62 74.24 128.66 1379.90
74.25 128.62 74.25 128.66 1420.03
74.26 128.62 74.27 128.67 1562.77
74.26 128.67 74.26 128.72 1379.98
74.26 128.72 74.26 128.77 1379.98
74.28 128.72 74.28 128.77 1526.48
74.27 128.77 74.28 128.82 1526.47
74.29 128.78 74.29 128.83 1526.52
74.29 128.83 74.29 128.88 1526.52
74.30 128.83 74.30 128.88 1526.57
74.30 128.88 74.30 128.93 1504.34
74.31 128.88 74.31 128.93 1526.61
74.33 128.89 74.33 128.94 1526.66
74.34 128.89 74.34 128.94 1526.71
74.34 128.94 74.34 128.99 1526.71
74.35 128.94 74.35 128.99 1526.76
74.35 128.89 74.35 128.94 1526.76
74.37 128.90 74.37 128.95 1673.86
74.38 128.90 74.38 128.95 1526.86
74.39 128.90 74.40 128.95 1474.82
74.41 128.91 74.41 128.95 1474.87
74.42 128.91 74.43 128.96 1541.94
74.43 128.91 74.44 128.96 1541.99
74.43 128.96 74.44 129.01 1474.96
74.42 128.96 74.42 129.01 1474.91
74.41 128.96 74.41 129.00 1474.87
74.39 128.95 74.40 129.00 1541.83
74.38 128.95 74.38 129.00 1673.91
74.37 128.95 74.37 129.00 1673.86
74.36 128.99 74.37 129.04 1504.57
74.38 129.00 74.38 129.05 1673.91
74.39 129.00 74.39 129.05 1526.90
74.40 129.01 74.41 129.05 1541.88
